dataset,correctness_score,semantic_similarity_score,faithfulness_score,context_relevancy_score,answer_relevancy_score,avg_score
agriculture,95.3,77.78084636340621,100.0,93.75,98.5,93.06616927268124
art,93.60000000000001,75.5293965287616,98.5,91.0625,100.0,91.73837930575232
biography,90.72222222222223,74.91486706547495,98.33333333333333,86.59722222222223,99.72222222222223,90.05797341309498
biology,95.18181818181817,76.93103912352565,98.63636363636363,91.33522727272727,99.77272727272727,92.3714350974324
cooking,90.66666666666666,75.41062404195785,99.16666666666667,92.5,99.16666666666667,91.38212480839158
cs,96.2,80.43732494055226,100.0,94.25,100.0,94.17746498811046
fiction,81.36363636363636,67.48576637138486,95.45454545454545,77.2159090909091,99.54545454545455,84.21306236518606
fin,86.28985507246377,74.03708808618414,99.71014492753623,91.63043478260869,99.85507246376811,90.3045190665122
health,95.27777777777777,76.28610119329704,100.0,96.45833333333333,99.72222222222223,93.54888690532607
history,95.33333333333334,76.61137035385693,100.0,90.63194444444443,100.0,92.51532962632693
legal,75.89041095890411,76.8619072105502,99.31506849315068,90.8818493150685,98.28767123287672,88.24738144211004
literature,85.94444444444444,70.99046764002172,96.11111111111111,84.13194444444444,100.0,87.43559352800435
mathematics,91.5625,75.79995736826216,99.375,87.625,100.0,90.87249147365243
mix,92.07692307692308,82.01253028295194,99.23076923076923,84.125,99.23076923076923,91.33519836428269
music,94.39999999999999,77.10992690140662,98.5,92.21875,99.5,92.34573538028133
philosophy,93.30000000000001,73.63302294847038,99.0,89.50625,100.0,91.08785458969408
physics,97.125,79.26736083080593,100.0,94.921875,99.6875,94.2003471661612
politics,94.0,74.65754136130545,99.44444444444444,92.08333333333333,99.72222222222223,91.9815082722611
psychology,96.35000000000001,77.20086677240005,100.0,94.53125,100.0,93.61642335448002
technology,93.66666666666667,78.4976383251405,99.58333333333333,92.609375,99.58333333333333,92.78806933169476